# Document parsed from: Master_List_for_Atlas_Copco-2.xlsx

## Page 1

|Basic Material|Changed By|Business Partner|Organizational Unit|Changed on|Company Created|Created by|Created on|Desc. in English (as of 11.2025)|Old description|Ext. Matl Group|Material group|Material type||Purchasing document|Purchase doc Item|Purchasing org.||Size/Dimension|Vendor||Material|Counter of PO|Counter of Material|PO Value|PO Quantity|
|304/304L SS|GAP-ENOVIA|Not assigned|Not assigned|09/03/2025|Atlas Copco Comptec LLC|TBI-MORJACO|08/21/2025|BLIND FLANGE|#|#|BLIND FLANGE|ZRH8|Purchased finished|45831721|30|US02|Comptec|1/2" 150# RF 304/304L|1100005970|Ferguson Enterprises, LLC|1314217001|1|1|$ 79.26|3 PC|
|304/304L SS|GAP-ENOVIA|Not assigned|Not assigned|09/03/2025|Atlas Copco Comptec LLC|TBI-MORJACO|08/21/2025|BLIND FLANGE|#|#|BLIND FLANGE|ZRH8|Purchased finished|45831721|40|US02|Comptec|1/2" 300# RF 304/304L|1100005970|Ferguson Enterprises, LLC|1314217002|1|1|$ 40.63|1 PC|
|304/304L SS|GAP-ENOVIA|Not assigned|Not assigned|09/03/2025|Atlas Copco Comptec LLC|TBI-MORJACO|08/21/2025|BLIND FLANGE|#|#|BLIND FLANGE|ZRH8|Purchased finished|45835897|10|US02|Comptec|3/4" 150# RF 304 / 304L|1100005970|Ferguson Enterprises, LLC|1314216971|1|1|$ 198.73|7 PC|
|304/304L SS|GAP-ENOVIA|Not assigned|Not assigned|09/03/2025|Atlas Copco Comptec LLC|TBI-MORJACO|08/21/2025|BLIND FLANGE|#|#|BLIND FLANGE|ZRH8|Purchased finished|45836806|10|US02|Comptec|1/2" 150# RF 304/304L|1100005970|Ferguson Enterprises, LLC|1314217001|1|1|$ 26.42|1 PC|
|304/304L SS|GAP-ENOVIA|Not assigned|Not assigned|10/20/2025|Atlas Copco Comptec LLC|TBI-SNYROSS|08/15/2025|THERMOWELL|#|#|THERMOWELL|ZRH8|Purchased finished|45834881|130|US02|Comptec|3000# 1"SW 1/2"NPT U=2.5" NACE|1101010279|R.L. STONE COMPANY INC.|1314216853|1|1|$ 1,716.00|4 PC|
|304/304L SS|GAP-ENOVIA|Not assigned|Not assigned|10/20/2025|Atlas Copco Comptec LLC|TBI-SNYROSS|08/15/2025|THERMOWELL|#|#|THERMOWELL|ZRH8|Purchased finished|45834881|140|US02|Comptec|3000# 1"SW 1/2"NPT U=2.5" NACE|1101010279|R.L. STONE COMPANY INC.|1314216853|1|1|$ 1,716.00|4 PC|
|304/304L SS|GAP-ENOVIA|Not assigned|Not assigned|10/20/2025|Atlas Copco Comptec LLC|TBI-SNYROSS|08/15/2025|THERMOWELL|#|#|THERMOWELL|ZRH8|Purchased finished|45836059|100|US02|Comptec|3000# 1"SW 1/2"NPT U=2.5" NACE|1101010279|R.L. STONE COMPANY INC.|1314216853|1|1|$ 1,716.00|4 PC|
|304/304L SS|GAP-ENOVIA|Not assigned|Not assigned|10/27/2025|Atlas Copco Comptec LLC|TBI-MORJACO|09/04/2025|BLIND FLANGE|#|#|BLIND FLANGE|ZRH8|Purchased finished|45835897|20|US02|Comptec|1" 150# RF 304/304L|1100005970|Ferguson Enterprises, LLC|1314217324|1|1|$ 272.97|9 PC|
|304/304L SS|GAP-ENOVIA|Not assigned|Not assigned|10/27/2025|Atlas Copco Comptec LLC|TBI-MORJACO|09/04/2025|BLIND FLANGE|#|#|BLIND FLANGE|ZRH8|Purchased finished|45836806|20|US02|Comptec|1" 150# RF 304/304L|1100005970|Ferguson Enterprises, LLC|1314217324|1|1|$ 60.66|2 PC|
|304/304L SS|GAP-ENOVIA|Not assigned|Not assigned|10/27/2025|Atlas Copco Comptec LLC|TBI-MORJACO|09/30/2025|BLIND FLANGE|#|#|BLIND FLANGE|ZRH8|Purchased finished|45835897|30|US02|Comptec|2" 150# RF 304/304L|1100005970|Ferguson Enterprises, LLC|1314217590|1|1|$ 53.56|1 PC|
|304L SS ASTM A|GAP-ENOVIA|Not assigned|Not assigned|09/25/2025|Atlas Copco Comptec LLC|TBI-NAUDAVI|09/22/2025|L-PROFILE|#|#|L-PROFILE|ZRH4|Purchased raw material|45834343|10|US02|Comptec|L3 X 2 X 2/4|1100002617|CATALANO'S WELDING AND CONS.|1314217480|1|1|$ 1,090.01|10.50 "|
|316 SS|COF-HELYNN|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-COMJOSE|01/02/2025|FLOW INDICATOR|#|#|FLOW INDICATOR|ZRH8|Purchased finished|45805542|10|US02|Comptec|1"-300#,F-960HPA-300,JACOBY-TARB|1100004825|YATES & COMPANY INC.|1314208724|1|1|$ 4,990.00|2 PC|
|316 SS|COF-HELYNN|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-COMJOSE|01/02/2025|FLOW INDICATOR|#|#|FLOW INDICATOR|ZRH8|Purchased finished|45805542|20|US02|Comptec|1"-300#,F-960HPA-300,JACOBY-TARB|1100004825|YATES & COMPANY INC.|1314208724|1|1|$ 4,990.00|2 PC|
|316 SS|ENG-BATCH|Not assigned|Not assigned|06/21/2025|Atlas Copco Comptec LLC|TBI-HALWILL|06/20/2025|JUNCTION BOX ACCESSORY|R.STAHL: 202901|#|JUNCTION BOX ACCESSORY|ZRH8|Purchased finished|45817202|90|US02|Comptec|GLAND PLATE 508X198X3|1100002096|R. STAHL, INCORPORATED|1314215195|1|1|$ 1,931.68|4 PC|
|316 SS|ENG-BATCH|Not assigned|Not assigned|06/21/2025|Atlas Copco Comptec LLC|TBI-HALWILL|06/20/2025|JUNCTION BOX ACCESSORY|R.STAHL: 202901|#|JUNCTION BOX ACCESSORY|ZRH8|Purchased finished|45817202|100|US02|Comptec|GLAND PLATE 508X198X3|1100002096|R. STAHL, INCORPORATED|1314215195|1|1|$ 2,897.52|6 PC|
|316 SS|ENG-BATCH|Not assigned|Not assigned|06/21/2025|Atlas Copco Comptec LLC|TBI-HALWILL|06/20/2025|JUNCTION BOX ACCESSORY|R.STAHL: 202901|#|JUNCTION BOX ACCESSORY|ZRH8|Purchased finished|45817202|110|US02|Comptec|GLAND PLATE 508X198X3|1100002096|R. STAHL, INCORPORATED|1314215195|1|1|$ 1,931.68|4 PC|
|316 SS|ENG-BATCH|Not assigned|Not assigned|06/21/2025|Atlas Copco Comptec LLC|TBI-HALWILL|06/20/2025|JUNCTION BOX ACCESSORY|R.STAHL: 202901|#|JUNCTION BOX ACCESSORY|ZRH8|Purchased finished|45817202|120|US02|Comptec|GLAND PLATE 508X198X3|1100002096|R. STAHL, INCORPORATED|1314215195|1|1|$ 1,931.68|4 PC|
|316 SS|ENG-BATCH|Not assigned|Not assigned|09/25/2025|Atlas Copco Comptec LLC|TBI-GIGJACK|09/24/2025|BLIND FLANGE|#|#|BLIND FLANGE|ZRH8|Purchased finished|45831881|10|US02|Comptec|RF 3/4" 600# CRN AB|1100005970|Ferguson Enterprises, LLC|1314217498|1|1|$ 78.80|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|01/28/2025|Atlas Copco Comptec LLC|TBI-GIGJACK|01/27/2025|GASKET, PIPE FLANGE|#|#|GASKET,|ZRH8|Purchased finished|45807121|10|US02|Comptec|1-1/4"-600# CGI 316SS CS CENTERI|1100001861|INDUSTRIAL GASKET\&SHIM CO.INC.|1314209489|1|1|$ 44.20|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|01/28/2025|Atlas Copco Comptec LLC|TBI-GIGJACK|01/27/2025|GASKET, PIPE FLANGE|#|#|GASKET,|ZRH8|Purchased finished|45807121|20|US02|Comptec|1-1/4"-600# CGI 316SS CS CENTERI|1100001861|INDUSTRIAL GASKET\&SHIM CO.INC.|1314209489|1|1|$ 44.20|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|02/10/2025|Atlas Copco Comptec LLC|TBI-CONSTEV|02/05/2025|PROCESS PIPE ASSEMBLY|#|#|PROCESS PIPE|ZHB3|Part made in-house|45808973|60|US02|Comptec|28"-150# A TO 8"-150# SEE PO TEX|1100002617|CATALANO'S WELDING AND CONS.|1314209606|1|1|$ 12,935.00|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/18/2025|FITTING, PIPE FLANGE THD|#|#|FITTING,|ZRH8|Purchased finished|45813883|10|US02|Comptec|1"-150#RF X 1" NPT MTR 3.1/USA M|1100005970|Ferguson Enterprises, LLC|1314209900|1|1|$ 281.48|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/18/2025|FITTING, PIPE FLANGE THD|#|#|FITTING,|ZRH8|Purchased finished|45813883|20|US02|Comptec|1"-150#RF X 1" NPT MTR 3.1/USA M|1100005970|Ferguson Enterprises, LLC|1314209900|1|1|$ 281.48|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/18/2025|FITTING, PIPE FLANGE THD|#|#|FITTING,|ZRH8|Purchased finished|45813883|30|US02|Comptec|1"-150#RF X 1" NPT MTR 3.1/USA M|1100005970|Ferguson Enterprises, LLC|1314209900|1|1|$ 281.48|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR MALE|CONN M 1/2T X 1/4BSPP SS 810-1-4RS SWGLK|#|FITTING,|ZRH8|Purchased finished|45812899|160|US02|Comptec|CMTR 1/2T X 1/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211009|1|1|$ 70.80|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR MALE|CONN M 1/2T X 1/4BSPP SS 810-1-4RS SWGLK|#|FITTING,|ZRH8|Purchased finished|45812899|170|US02|Comptec|CMTR 1/2T X 1/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211009|1|1|$ 70.80|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR MALE|CONN M 1/2T X 1/4BSPP SS 810-1-4RS SWGLK|#|FITTING,|ZRH8|Purchased finished|45812899|180|US02|Comptec|CMTR 1/2T X 1/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211009|1|1|$ 70.80|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR MALE|CONN M 1/2T X 1/4BSPP SS 810-1-4RS SWGLK|#|FITTING,|ZRH8|Purchased finished|45818160|130|US02|Comptec|CMTR 1/2T X 1/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211009|1|1|$ 29.78|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR MALE|CONN M 1/2T X 1/4BSPP SS 810-1-4RS SWGLK|#|FITTING,|ZRH8|Purchased finished|45818160|140|US02|Comptec|CMTR 1/2T X 1/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211009|1|1|$ 208.46|7 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR MALE|CONN M 1/2T X 1/4BSPP SS 810-1-4RS SWGLK|#|FITTING,|ZRH8|Purchased finished|45818160|150|US02|Comptec|CMTR 1/2T X 1/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211009|1|1|$ 29.78|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR MALE|CONN M 1/2T X 1/4BSPP SS 810-1-4RS SWGLK|#|FITTING,|ZRH8|Purchased finished|45818160|160|US02|Comptec|CMTR 1/2T X 1/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211009|1|1|$ 208.46|7 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR MALE|CONN M 1/2T X 1/4BSPP SS 810-1-4RS SWGLK|#|FITTING,|ZRH8|Purchased finished|45818160|170|US02|Comptec|CMTR 1/2T X 1/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211009|1|1|$ 29.78|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR MALE|CONN M 1/2T X 1/4BSPP SS 810-1-4RS SWGLK|#|FITTING,|ZRH8|Purchased finished|45818160|180|US02|Comptec|CMTR 1/2T X 1/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211009|1|1|$ 208.46|7 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR O-RING SEAL|CONN M ORING 1/4T X 9/16-18 SS SWGLK 400-1-6ST|#|FITTING,|ZRH8|Purchased finished|45812899|130|US02|Comptec|CMTR 1/4T X 9/16-18 SS SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211008|1|1|$ 29.10|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR O-RING SEAL|CONN M ORING 1/4T X 9/16-18 SS SWGLK 400-1-6ST|#|FITTING,|ZRH8|Purchased finished|45812899|140|US02|Comptec|CMTR 1/4T X 9/16-18 SS SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211008|1|1|$ 29.10|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR O-RING SEAL|CONN M ORING 1/4T X 9/16-18 SS SWGLK 400-1-6ST|#|FITTING,|ZRH8|Purchased finished|45812899|150|US02|Comptec|CMTR 1/4T X 9/16-18 SS SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211008|1|1|$ 29.10|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR PORT|CONN RED PORT 3/4T X 1/2T SS SWGLK 1211-PC-8|#|FITTING,|ZRH8|Purchased finished|45812899|250|US02|Comptec|CMTR RED 3/4"T X 1/2"T SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211014|1|1|$ 64.80|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR PORT|CONN RED PORT 3/4T X 1/2T SS SWGLK 1211-PC-8|#|FITTING,|ZRH8|Purchased finished|45812899|260|US02|Comptec|CMTR RED 3/4"T X 1/2"T SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211014|1|1|$ 64.80|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE CONNECTOR PORT|CONN RED PORT 3/4T X 1/2T SS SWGLK 1211-PC-8|#|FITTING,|ZRH8|Purchased finished|45812899|270|US02|Comptec|CMTR RED 3/4"T X 1/2"T SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211014|1|1|$ 64.80|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE ELBOW UNION|#|#|FITTING,|ZRH8|Purchased finished|45812899|220|US02|Comptec|CMTR 3/4"T SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211012|1|1|$ 171.20|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE ELBOW UNION|#|#|FITTING,|ZRH8|Purchased finished|45812899|230|US02|Comptec|CMTR 3/4"T SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211012|1|1|$ 171.20|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE ELBOW UNION|#|#|FITTING,|ZRH8|Purchased finished|45812899|240|US02|Comptec|CMTR 3/4"T SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211012|1|1|$ 171.20|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE MALE ADAPTER|#|#|FITTING,|ZRH8|Purchased finished|45812899|190|US02|Comptec|CMTR 3/4T X 3/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211011|1|1|$ 93.10|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE MALE ADAPTER|#|#|FITTING,|ZRH8|Purchased finished|45812899|200|US02|Comptec|CMTR 3/4T X 3/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211011|1|1|$ 93.10|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/11/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/06/2025|FITTING, TUBE MALE ADAPTER|#|#|FITTING,|ZRH8|Purchased finished|45812899|210|US02|Comptec|CMTR 3/4T X 3/4BSPP SWGLK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211011|1|1|$ 93.10|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45809779|40|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 581.30|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45809779|50|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 581.30|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45809779|60|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 581.30|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45809779|70|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 581.30|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45809779|80|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 581.30|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45809779|90|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 581.30|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45817696|50|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 286.90|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45817696|60|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 286.90|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45817696|70|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 1,147.60|4 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45817696|80|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 286.90|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45817696|90|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 286.90|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45817696|100|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 1,147.60|4 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45817696|110|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 286.90|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45817696|120|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 286.90|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45817696|130|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 1,147.60|4 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45838553|70|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 298.40|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45838553|80|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 298.40|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/14/2025|Atlas Copco Comptec LLC|TBI-MAHMICH|03/12/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45838553|90|US02|Comptec|CMTR 1/2T SS-63TS8 SWAGELOK|1101010287|ALBANY VALVE & FITTING COMPANY|1314211644|1|1|$ 298.40|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/17/2025|Atlas Copco Comptec LLC|TBI-COMJOSE|03/12/2025|VALVE, NEEDLE|#|#|VALVE,|ZRH8|Purchased finished|45812142|10|US02|Comptec|1/2"T X 1/2"T CV=2.1 SWGLK, MTR|1101010287|ALBANY VALVE & FITTING COMPANY|1314211648|1|1|$ 438.00|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/17/2025|Atlas Copco Comptec LLC|TBI-COMJOSE|03/12/2025|VALVE, NEEDLE|#|#|VALVE,|ZRH8|Purchased finished|45812142|20|US02|Comptec|1/2"T X 1/2"T CV=2.1 SWGLK, MTR|1101010287|ALBANY VALVE & FITTING COMPANY|1314211648|1|1|$ 438.00|1 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/18/2025|Atlas Copco Comptec LLC|TBI-WILTRIS|03/13/2025|FITTING, ELECTRICAL|#|#|FITTING,|ZRH8|Purchased finished|45815441|10|US02|Comptec|HEAD ASSY 1/2"NPT, HAZ 316SS|1100002278|PYROMATION INC.|1314211666|1|1|$ 1,504.80|11 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/18/2025|Atlas Copco Comptec LLC|TBI-WILTRIS|03/13/2025|FITTING, ELECTRICAL|#|#|FITTING,|ZRH8|Purchased finished|45820154|10|US02|Comptec|HEAD ASSY 1/2"NPT, HAZ 316SS|1100002278|PYROMATION INC.|1314211666|1|1|$ 2,736.00|20 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/20/2025|INEA|INE-SHIABHI|03/10/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45813852|100|US02|Comptec|3/4T SS-S63-PS12-JL MTR 3.1/USA|1101010287|ALBANY VALVE & FITTING COMPANY|1314211613|1|1|$ 1,290.32|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/20/2025|INEA|INE-SHIABHI|03/10/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45813852|110|US02|Comptec|3/4T SS-S63-PS12-JL MTR 3.1/USA|1101010287|ALBANY VALVE & FITTING COMPANY|1314211613|1|1|$ 1,290.32|2 PC|
|316 SS|GAP-ENOVIA|Not assigned|Not assigned|03/20/2025|INEA|INE-SHIABHI|03/10/2025|VALVE, BALL|#|#|VALVE,|ZRH8|Purchased finished|45813852|120|US02|Comptec|3/4T SS-S63-PS12-JL MTR 3.1/USA|1101010287|ALBANY VALVE & FITTING COMPANY|1314211613|1|1|$ 1,290.32|2 PC|
